model,horizon_min,mae_c,rmse_c,count,inference_s,scenario,heldout_distribution_shift
persistence,5,0.09830183535814285,0.12611256539821625,312,0.0008070000039879233,burst,False
persistence,10,0.18345271050930023,0.24205227196216583,312,0.0008070000039879233,burst,False
persistence,15,0.35876405239105225,0.49635055661201477,312,0.0008070000039879233,burst,False
persistence,30,1.280210018157959,1.4952231645584106,312,0.0008070000039879233,burst,False
persistence,60,3.149155616760254,3.2307374477386475,312,0.0008070000039879233,burst,False
persistence,5,0.11039844155311584,0.14010649919509888,312,0.0008070000039879233,cooling_degradation,False
persistence,10,0.17544539272785187,0.22127236425876617,312,0.0008070000039879233,cooling_degradation,False
persistence,15,0.23881901800632477,0.30688562989234924,312,0.0008070000039879233,cooling_degradation,False
persistence,30,0.43648606538772583,0.5587390661239624,312,0.0008070000039879233,cooling_degradation,False
persistence,60,0.958362877368927,1.2082685232162476,312,0.0008070000039879233,cooling_degradation,False
persistence,5,0.12227123975753784,0.1661982387304306,8508,0.0008070000039879233,hot_ambient,True
persistence,10,0.1972106546163559,0.2784680724143982,8508,0.0008070000039879233,hot_ambient,True
persistence,15,0.26897871494293213,0.3821517527103424,8508,0.0008070000039879233,hot_ambient,True
persistence,30,0.4547550082206726,0.6397530436515808,8508,0.0008070000039879233,hot_ambient,True
persistence,60,0.75067138671875,0.9966062307357788,8508,0.0008070000039879233,hot_ambient,True
persistence,5,0.11137064546346664,0.1373022198677063,312,0.0008070000039879233,normal,False
persistence,10,0.16507190465927124,0.20514988899230957,312,0.0008070000039879233,normal,False
persistence,15,0.2101014405488968,0.25575974583625793,312,0.0008070000039879233,normal,False
persistence,30,0.30108949542045593,0.36927932500839233,312,0.0008070000039879233,normal,False
persistence,60,0.5111613869667053,0.6043174862861633,312,0.0008070000039879233,normal,False
persistence,5,0.1531941443681717,0.2139226198196411,8508,0.0008070000039879233,skewed,True
persistence,10,0.26718413829803467,0.38422104716300964,8508,0.0008070000039879233,skewed,True
persistence,15,0.3794804513454437,0.5473661422729492,8508,0.0008070000039879233,skewed,True
persistence,30,0.6908735632896423,0.9847678542137146,8508,0.0008070000039879233,skewed,True
persistence,60,1.2220414876937866,1.6408182382583618,8508,0.0008070000039879233,skewed,True
physics,5,0.33393922448158264,0.3525884747505188,312,5.319999763742089e-05,burst,False
physics,10,0.6840916275978088,0.7351134419441223,312,5.319999763742089e-05,burst,False
physics,15,1.1042248010635376,1.2239110469818115,312,5.319999763742089e-05,burst,False
physics,30,2.7208025455474854,2.885847330093384,312,5.319999763742089e-05,burst,False
physics,60,5.15758752822876,5.248945713043213,312,5.319999763742089e-05,burst,False
physics,5,0.3301929533481598,0.3506593108177185,312,5.319999763742089e-05,cooling_degradation,False
physics,10,0.5938385128974915,0.6163191795349121,312,5.319999763742089e-05,cooling_degradation,False
physics,15,0.8042829632759094,0.831332802772522,312,5.319999763742089e-05,cooling_degradation,False
physics,30,1.2507641315460205,1.3104383945465088,312,5.319999763742089e-05,cooling_degradation,False
physics,60,1.600786805152893,1.861528992652893,312,5.319999763742089e-05,cooling_degradation,False
physics,5,0.3320828378200531,0.3520321846008301,8508,5.319999763742089e-05,hot_ambient,True
physics,10,0.6058316230773926,0.6300827264785767,8508,5.319999763742089e-05,hot_ambient,True
physics,15,0.8310287594795227,0.8616327047348022,8508,5.319999763742089e-05,hot_ambient,True
physics,30,1.2956032752990723,1.351918339729309,8508,5.319999763742089e-05,hot_ambient,True
physics,60,1.7085254192352295,1.833501935005188,8508,5.319999763742089e-05,hot_ambient,True
physics,5,0.37843868136405945,0.39412397146224976,312,5.319999763742089e-05,normal,False
physics,10,0.6760193109512329,0.6924353837966919,312,5.319999763742089e-05,normal,False
physics,15,0.8971834182739258,0.9161298871040344,312,5.319999763742089e-05,normal,False
physics,30,1.2315014600753784,1.2629475593566895,312,5.319999763742089e-05,normal,False
physics,60,1.0603159666061401,1.1075128316879272,312,5.319999763742089e-05,normal,False
physics,5,0.34820765256881714,0.37471967935562134,8508,5.319999763742089e-05,skewed,True
physics,10,0.6381040811538696,0.6753438115119934,8508,5.319999763742089e-05,skewed,True
physics,15,0.8813126087188721,0.9304410219192505,8508,5.319999763742089e-05,skewed,True
physics,30,1.4023611545562744,1.494127631187439,8508,5.319999763742089e-05,skewed,True
physics,60,1.9095488786697388,2.1314704418182373,8508,5.319999763742089e-05,skewed,True
ridge,5,0.4616856575012207,0.5040306448936462,312,0.006206800011568703,burst,False
ridge,10,1.19987952709198,1.2720099687576294,312,0.006206800011568703,burst,False
